Device,G_Swap_Total,G_Swap_Free,G_Swap_Used,G_Proc_Run,G_Cpu_User,G_Cpu_Wio,G_Load_One,G_Load,G_Five,G_Load_Fifteen,G_Mem_Cached,G_Mem_Total,T_State,T_Slots,T_SlotsUsed,T_AvailMem(MB),T_TotalMem(MB)/Swap,T_Time_Last_Rec,T_LoadAve ,T_NetLoad(MB)
compute-2-29,10061.0,10005.93,55.07,1.0,34.9,0.4,2.44,2.67,2649592.0,8255316.0,481.606,435.17,1,4,3,15473.11,18122.83,1.93,1.59,901507.42
compute-2-28,10061.0,10061.0,0.0,0.0,0.0,0.0,0.0,0.0,1485600.0,8255316.0,481.606,452.613,0,4,0,17866.45,18122.83,180289.93,0.00,967.03
compute-2-23,10061.0,9939.18,121.82,3.0,74.2,0.1,2.89,2.8,2500260.0,8255316.0,481.606,435.595,2,4,4,13177.02,18122.83,1.93,3.02,696936.06
compute-2-25,10061.0,8846.8,1214.2,4.0,95.8,1.2,4.01,3.93,3718856.0,8255316.0,481.606,434.035,2,4,4,13357.36,18122.83,38.93,4.17,783133.67
compute-2-24,10061.0,9704.63,356.37,3.0,73.0,1.5,3.13,3.06,3056776.0,8255316.0,481.606,434.716,2,4,4,12951.05,18122.83,40.93,3.04,770228.22
compute-2-27,10061.0,9879.87,181.13,0.0,32.4,7.6,1.88,2.32,3156364.0,8255316.0,481.606,435.502,2,4,4,14547.22,18122.83,40.93,1.90,830341.48
compute-2-26,10061.0,10002.78,58.21,3.0,79.9,1.9,3.89,3.96,5416760.0,8255316.0,481.606,435.413,2,4,4,16475.47,18122.83,36.93,3.65,858108.11
compute-6-29,10061.0,9992.89,68.1,4.0,95.2,1.2,4.01,3.67,5173240.0,8255316.0,481.606,436.038,2,4,4,16269.71,18122.83,44.93,4.18,968622.33
compute-6-28,10061.0,9998.06,62.93,4.0,89.6,0.7,3.27,2.93,5286252.0,8255316.0,481.606,436.192,2,4,4,16208.25,18122.83,42.93,3.58,1045438.19
compute-6-25,10061.0,10004.73,56.26,3.0,47.5,16.3,3.25,3.33,6165632.0,8255316.0,481.606,435.789,1,4,3,16517.19,18122.83,40.93,3.27,734804.87
compute-6-24,10061.0,9999.43,61.57,3.0,74.9,1.5,3.88,3.56,5147248.0,8255316.0,481.606,435.949,1,4,3,16559.84,18122.83,42.93,3.37,879233.49
compute-6-27,10061.0,10000.62,60.38,4.0,58.3,19.4,3.86,3.87,4252444.0,8255316.0,481.606,435.117,2,4,4,16682.49,18122.83,39.93,4.04,943534.36
compute-6-26,10061.0,10001.45,59.54,2.0,66.3,1.4,3.15,3.24,4355320.0,8255316.0,481.606,432.916,1,4,3,15778.18,18122.83,40.93,2.64,1003441.92
compute-6-23,10061.0,9755.21,305.79,2.0,39.7,15.4,2.02,1.97,2695096.0,8255316.0,481.606,435.055,2,4,4,12880.97,18122.83,40.93,2.07,1094084.68
compute-5-1,10061.0,9950.68,110.31,2.0,56.3,0.3,2.56,2.64,2056952.0,8255316.0,481.606,433.1,1,4,3,13779.5,18122.83,1.93,2.08,760010.42
compute-14-1,10061.0,10001.85,59.15,4.0,52.3,7.4,3.42,3.62,5304332.0,8255316.0,481.606,434.466,2,4,4,15911.7,18122.83,0.93,4.22,990413.03
compute-14-2,10061.0,10006.69,54.3,5.0,70.1,1.6,3.37,3.24,5196308.0,8255316.0,481.606,433.536,2,4,4,15882.17,18122.83,42.93,3.47,887881.21
compute-14-3,10061.0,10012.19,48.8,4.0,78.5,2.8,3.76,3.52,4579708.0,8255316.0,481.606,433.415,2,4,4,16162.72,18122.83,43.93,3.99,984164.19
